"Ticker","Indicator.Name","Rank-2008","Rank-2009","Rank-2010","Rank-2011","Rank-2012","Rank-2013","Rank-2014","Rank-2015","Rank-2016","Rank-2017","Rank-2018"
"ALSK","Return on Assets",NA,NA,2,4,8,10,3,9,6,4,5
"CBB","Return on Assets",NA,4,5,5,4,1,10,13,13,6,NA
"CNSL","Return on Assets",NA,NA,7,9,3,6,6,6,7,7,2
"CTL","Return on Assets",NA,NA,8,7,6,2,8,8,8,8,1
"EGHT","Return on Assets",NA,NA,11,12,11,5,5,3,2.5,1,NA
"FTR","Return on Assets",NA,2,4,6,5,4,7,5,4,2,NA
"HCHC","Return on Assets",NA,NA,3,2,12,11,2,4,1,3,6
"IDT","Return on Assets",NA,NA,NA,10,10,7,11,12,11,9,4
"S","Return on Assets",1,1,1,3,2,NA,NA,2,2.5,12,NA
"T","Return on Assets",2,5,10,8,7,8,9,10,10,11,7
"TMUS","Return on Assets",NA,3,6,1,1,3,4,7,9,10,8
"VZ","Return on Assets",3,6,9,11,9,9,12,11,12,13,9
"ZAYO","Return on Assets",NA,NA,NA,NA,NA,NA,1,1,5,5,3
"ALSK","Gross Margin",NA,NA,7,9,8,5,3,5,6,6,5
"CBB","Gross Margin",NA,3,4,4,4,3,4,3,3,3,NA
"CNSL","Gross Margin",NA,NA,8,10,10,9,10,9,9,9,6
"CTL","Gross Margin",NA,NA,9,8,6,6,8,8,7,5,4
"EGHT","Gross Margin",NA,NA,10,11,12,11,13,13,13,13,NA
"FTR","Gross Margin",NA,6,11,12,11,10,11,11,11,11,NA
"HCHC","Gross Margin",NA,NA,3,1,1,1,1,1,2,2,2
"IDT","Gross Margin",NA,NA,NA,2,2,2,2,2,1,1,1
"S","Gross Margin",1,2,2,3,3,NA,5,4,5,10,NA
"T","Gross Margin",2,5,6,5,5,7,7,7,4,4,3
"TMUS","Gross Margin",NA,1,1,6,7,4,6,6,8,7,8
"VZ","Gross Margin",3,4,5,7,9,8,9,10,10,8,7
"ZAYO","Gross Margin",NA,NA,NA,NA,NA,NA,12,12,12,12,9
"ALSK","Operating Margin",NA,NA,5,10,10,5,2,2,5,6,4
"CBB","Operating Margin",NA,5,9,12,11,8,11,8,7,5,NA
